ball-in-bowl
frequency,haptic_forces,trial
3,0.0,1
3,0.0,2
3,0.0,3
3,2.0,4
3,2.0,5
3,2.0,6
0,2.0,7
0,2.0,8
0,2.0,9
0,1.0,10
0,1.0,11
0,1.0,12
2,1.0,13
2,1.0,14
2,1.0,15
2,2.0,16
2,2.0,17
2,2.0,18
1,2.0,19
1,2.0,20
1,2.0,21
1,0.0,22
1,0.0,23
1,0.0,24
stationary ball,,25
stationary ball,,26
stationary ball,,27
Mandatory 5min break
0,0.0,28
0,0.0,29
0,0.0,30
0,2.0,31
0,2.0,32
0,2.0,33
2,0.0,34
2,0.0,35
2,0.0,36
2,1.0,37
2,1.0,38
2,1.0,39
1,1.0,40
1,1.0,41
1,1.0,42
1,2.0,43
1,2.0,44
1,2.0,45
3,1.0,46
3,1.0,47
3,1.0,48
3,0.0,49
3,0.0,50
3,0.0,51
stationary ball,,52
stationary ball,,53
stationary ball,,54
Mandatory 5min break
1,0.0,55
1,0.0,56
1,0.0,57
1,1.0,58
1,1.0,59
1,1.0,60
3,2.0,61
3,2.0,62
3,2.0,63
3,1.0,64
3,1.0,65
3,1.0,66
0,1.0,67
0,1.0,68
0,1.0,69
0,0.0,70
0,0.0,71
0,0.0,72
2,2.0,73
2,2.0,74
2,2.0,75
2,0.0,76
2,0.0,77
2,0.0,78
Mandatory 5min break
nail-and-hammer
left-v-right,trial
0,1
0,2
0,3
1,4
1,5
1,6
1,7
1,8
1,9
0,10
0,11
0,12
