Subject,Force,BallFreq,Window,Resonance
Subject1,F0_B1,0.5Hz,win0.1,0.022487023186154986
Subject1,F0_B1,0.5Hz,win0.2,0.07644296528112138
Subject1,F0_B1,0.5Hz,win0.3,0.09727330339707468
Subject1,F0_B1,0.5Hz,win0.1,0.05737031450642739
Subject1,F0_B1,0.5Hz,win0.2,0.11017305232291674
Subject1,F0_B1,0.5Hz,win0.3,0.15778391068736217
Subject1,F0_B1,0.5Hz,win0.1,0.07032564596446089
Subject1,F0_B1,0.5Hz,win0.2,0.1233534442232875
Subject1,F0_B1,0.5Hz,win0.3,0.1638649235140772
Subject1,F0_B1,0.5Hz,win0.1,0.131194675225939
Subject1,F0_B1,0.5Hz,win0.2,0.22669204013427016
Subject1,F0_B1,0.5Hz,win0.3,0.3402324336606054
Subject1,F0_B1,0.5Hz,win0.1,0.11946393907809931
Subject1,F0_B1,0.5Hz,win0.2,0.2521395765154951
Subject1,F0_B1,0.5Hz,win0.3,0.3701784960774719
Subject1,F0_B1,0.5Hz,win0.1,0.15767277024755386
Subject1,F0_B1,0.5Hz,win0.2,0.2853114066294649
Subject1,F0_B1,0.5Hz,win0.3,0.3544007203739815
Subject1,F0_B1,1Hz,win0.1,0.1632325367977019
Subject1,F0_B1,1Hz,win0.2,0.2419416424731171
Subject1,F0_B1,1Hz,win0.3,0.3491205695469287
Subject1,F0_B1,1Hz,win0.1,0.2375101125078418
Subject1,F0_B1,1Hz,win0.2,0.30469102333662745
Subject1,F0_B1,1Hz,win0.3,0.4780839317139217
Subject1,F0_B1,1Hz,win0.1,0.19021857274096202
Subject1,F0_B1,1Hz,win0.2,0.27025380190494863
Subject1,F0_B1,1Hz,win0.3,0.3848935783760906
Subject1,F0_B1,1Hz,win0.1,0.2671037954771363
Subject1,F0_B1,1Hz,win0.2,0.45064620470863936
Subject1,F0_B1,1Hz,win0.3,0.5383448450212704
Subject1,F0_B1,1Hz,win0.1,0.15778897908437242
