Subject,Force,BallFreq,Energy0.5,Energy1.0,Energy1.5,Energy2.5,Resonance
Subject1,F0_B0,0.5Hz,0.10544801777550103,0.2841312329277935,0.13120275590744185,0.05368194792879379,0.10544801777550103
Subject1,F0_B0,0.5Hz,0.16969112718970056,0.469257988832456,0.3442414045524071,0.10136741857212539,0.16969112718970056
Subject1,F0_B0,0.5Hz,0.290035570597002,0.758815826991634,0.5315455833529384,0.13985124842571517,0.290035570597002
Subject1,F0_B0,0.5Hz,0.47984546733672256,0.9570555171994721,0.665746176303053,0.18109293913495728,0.47984546733672256
Subject1,F0_B0,0.5Hz,0.6410580004022058,1.195505601377561,0.8011111333334092,0.23350207028806289,0.6410580004022058
Subject1,F0_B0,0.5Hz,0.7581613189535773,1.4273660901706324,0.9172137447877646,0.300103138153463,0.7581613189535773
Subject2,F0_B0,0.5Hz,0.23359306689252698,0.18370166281230646,0.10487074775241409,0.033636603975294936,0.23359306689252698
Subject2,F0_B0,0.5Hz,0.4430934178785978,0.387920760207156,0.20708016523333694,0.05973494583537945,0.4430934178785978
Subject2,F0_B0,0.5Hz,0.7033918981854161,0.5762676465581853,0.3534099842820443,0.08313125087384568,0.7033918981854161
Subject2,F0_B0,0.5Hz,0.9274768838825678,0.7983902954368887,0.4574721970871164,0.12267222270317507,0.9274768838825678
Subject2,F0_B0,0.5Hz,1.1662239671171324,1.0539718633795916,0.5523338461807348,0.15261546804138792,1.1662239671171324
Subject2,F0_B0,0.5Hz,1.3087705390979034,1.375315598563231,0.6630137654163817,0.18065800797867873,1.3087705390979034
Subject3,F0_B0,0.5Hz,0.06707862466437217,0.18540971094369862,0.16442768807652466,0.06542084319023056,0.06707862466437217
Subject3,F0_B0,0.5Hz,0.14876177121691328,0.31584354225684824,0.3101676071583387,0.16537528994804512,0.14876177121691328
Subject3,F0_B0,0.5Hz,0.23034675689430892,0.44410616682091353,0.52821456732895,0.2504308220795207,0.23034675689430892
Subject3,F0_B0,0.5Hz,0.28939999686552786,0.658230038834307,0.6592576332640647,0.358946182137061,0.28939999686552786
Subject3,F0_B0,0.5Hz,0.35660716015924243,0.7868714725325503,0.8318380818050581,0.42976079099212455,0.35660716015924243
Subject3,F0_B0,0.5Hz,0.40597065946836813,0.8900461250923053,1.0465787686436574,0.5188242725787641,0.40597065946836813
Subject4,F0_B0,0.5Hz,0.0758751860731091,0.15946013519155103,0.17590359537312958,0.09587734394193968,0.0758751860731091
Subject4,F0_B0,0.5Hz,0.1946843523273869,0.310816744454492,0.34368809610166196,0.15875316050316507,0.1946843523273869
Subject4,F0_B0,0.5Hz,0.291674612313329,0.5555726688842496,0.5087108148849395,0.229733302405213,0.291674612313329
Subject4,F0_B0,0.5Hz,0.40767518923020707,0.7558953545034556,0.6804994960801338,0.3086962232210673,0.40767518923020707
Subject4,F0_B0,0.5Hz,0.47427165219981804,1.0413486988049514,0.8552283736672778,0.3630094764444637,0.47427165219981804
Subject4,F0_B0,0.5Hz,0.5940317887489716,1.2551704204096832,1.004472786115465,0.4271015583553487,0.5940317887489716
Subject5,F0_B0,0.5Hz,0.1896172901256387,0.18932933345995126,0.10586768545456035,0.04590811467257602,0.1896172901256387
Subject5,F0_B0,0.5Hz,0.385369142760443,0.34241864611337286,0.2663283958908872,0.1001337154185031,0.385369142760443
Subject5,F0_B0,0.5Hz,0.5724380043726213,0.5712263996152527,0.37768478162253794,0.13953381149518201,0.5724380043726213
Subject5,F0_B0,0.5Hz,0.7931379470293396,0.7453177951218557,0.49619779852980606,0.19643090860803966,0.7931379470293396
Subject5,F0_B0,0.5Hz,0.9014236917230207,0.8922743038639824,0.5963940431823512,0.25012058071961996,0.9014236917230207
Subject5,F0_B0,0.5Hz,1.0644868233958917,1.160992574880873,0.6717851999070107,0.3073641395491363,1.0644868233958917
Subject6,F0_B0,0.5Hz,0.17293932522155903,0.1672041688471774,0.10434812137513663,0.03111177702975769,0.17293932522155903
Subject6,F0_B0,0.5Hz,0.3911751365752579,0.406344738669436,0.17867187432342355,0.057375596590370746,0.3911751365752579
Subject6,F0_B0,0.5Hz,0.579266665926587,0.7372419414430276,0.2877554157091571,0.08776406497478037,0.579266665926587
Subject6,F0_B0,0.5Hz,0.8159808764901046,0.9027198583354429,0.42007426748560367,0.13040978442346196,0.8159808764901046
Subject6,F0_B0,0.5Hz,1.0023984979020988,1.118549983172953,0.5293989718976908,0.16502805563542483,1.0023984979020988
Subject6,F0_B0,0.5Hz,1.2079173680232784,1.4866285441102125,0.6307867029204741,0.19437176300317685,1.2079173680232784
Subject7,F0_B0,0.5Hz,0.08545700242462367,0.19920138825472022,0.14839583125695371,0.034983352314980454,0.08545700242462367
Subject7,F0_B0,0.5Hz,0.13130649923513807,0.4108924531342716,0.2772272181108395,0.1153033180581649,0.13130649923513807
Subject7,F0_B0,0.5Hz,0.19166438346442996,0.6069460136978219,0.4094685989789003,0.1580498775654559,0.19166438346442996
Subject7,F0_B0,0.5Hz,0.24056617251736614,0.8250935116001754,0.5715198221454618,0.23174226680901633,0.24056617251736614
Subject7,F0_B0,0.5Hz,0.2966944792509149,0.969739524879839,0.7876306055339168,0.31726881779918487,0.2966944792509149
Subject7,F0_B0,0.5Hz,0.3211668322253444,1.1152700228289236,1.055771321018811,0.3959469209046481,0.3211668322253444
Subject1,F1_B0,0.5Hz,0.15890779825485685,0.2751281230736284,0.11232892945381999,0.03947906399541923,0.15890779825485685
Subject1,F1_B0,0.5Hz,0.2676073648714096,0.5404733748284811,0.2881773475379496,0.09333397029549087,0.2676073648714096
Subject1,F1_B0,0.5Hz,0.3841831226137787,0.8166180582999119,0.4405115601596963,0.1373465529008161,0.3841831226137787
Subject1,F1_B0,0.5Hz,0.4902062360849988,1.0286482092916134,0.6268220673653557,0.16991386917789505,0.4902062360849988
Subject1,F1_B0,0.5Hz,0.5595102261774104,1.3144881767116952,0.826489032680573,0.22991910658384368,0.5595102261774104
Subject1,F1_B0,0.5Hz,0.7202205909428098,1.5300462367128775,0.9649672881248271,0.2572935861542165,0.7202205909428098
Subject1,F1_B0,1Hz,0.13011792186854515,0.21840171826502436,0.09066187051282067,0.026520081733938244,0.21840171826502436
Subject1,F1_B0,1Hz,0.2957908633835321,0.5004798687441911,0.1659431007905406,0.06525930022072449,0.5004798687441911
Subject1,F1_B0,1Hz,0.5200754189074577,0.6808989349333505,0.27723664021910555,0.10097565634204242,0.6808989349333505
Subject1,F1_B0,1Hz,0.6441720194743883,0.9376812017053668,0.43102625065441147,0.14308707242784321,0.9376812017053668
Subject1,F1_B0,1Hz,0.8116556534784882,1.1617393358206438,0.5242036520297753,0.17705935287527938,1.1617393358206438
Subject1,F1_B0,1Hz,0.8979177188117238,1.470589631769551,0.6560639123546466,0.22082760257709283,1.470589631769551
Subject1,F1_B0,1.5Hz,0.10428666238043166,0.31651038652551194,0.16972606915083988,0.029659310523563687,0.16972606915083988
Subject1,F1_B0,1.5Hz,0.2491705673867918,0.5767493661213559,0.3096917639030688,0.08424642560476045,0.3096917639030688
Subject1,F1_B0,1.5Hz,0.36427614550083665,0.902121644961436,0.4556027720725513,0.1048093939377971,0.4556027720725513
Subject1,F1_B0,1.5Hz,0.48945976801487223,1.171626845088366,0.5964406334049047,0.16031506234391613,0.5964406334049047
Subject1,F1_B0,1.5Hz,0.5915245767768205,1.4593049193451577,0.7441896737727052,0.23380019008477995,0.7441896737727052
Subject1,F1_B0,1.5Hz,0.682797532651528,1.743852180071268,0.8698249618726257,0.279425654274398,0.8698249618726257
Subject1,F1_B0,2.5Hz,0.1454158376018623,0.16430830464553003,0.1270919251706467,0.05183671321119957,0.05183671321119957
Subject1,F1_B0,2.5Hz,0.24139311847882663,0.40018047197048345,0.20053983004637987,0.13923170572936777,0.13923170572936777
Subject1,F1_B0,2.5Hz,0.3433108050533235,0.6420150663472931,0.27298998186368123,0.19926440740141926,0.19926440740141926
