system_time, x, y, z 
1.049,-0.0883335,-0.0157751,-0.126274
1.159,-0.0940684,-0.029687,-0.122794
1.27199,-0.104651,-0.0435867,-0.119619
1.38399,-0.119058,-0.0551121,-0.116952
1.49199,-0.13385,-0.0630379,-0.113797
1.60599,-0.148468,-0.0668162,-0.108189
1.717,-0.156312,-0.0664782,-0.0995782
1.82899,-0.15586,-0.0637122,-0.0887832
1.939,-0.15497,-0.058728,-0.0790042
2.054,-0.153695,-0.0507422,-0.0695249
2.166,-0.152348,-0.0405382,-0.059878
2.27899,-0.151259,-0.029755,-0.0486613
2.39099,-0.14871,-0.0210973,-0.0374853
2.506,-0.143905,-0.0158995,-0.0259131
2.618,-0.140572,-0.0139928,-0.0147777
2.728,-0.139245,-0.0129001,-0.00374396
2.84399,-0.138116,-0.011535,0.00787908
2.95799,-0.136363,-0.0101944,0.0192024
3.06999,-0.134462,-0.00881013,0.0304343
3.18199,-0.131389,-0.00671957,0.0416204
3.29599,-0.1268,-0.00254464,0.0530454
3.40799,-0.121407,0.00397001,0.0638708
3.52199,-0.115437,0.0123101,0.0707136
3.63599,-0.110255,0.0215983,0.06953
3.75,-0.106929,0.0320689,0.0627482
3.86699,-0.103547,0.0438172,0.0632003
3.97899,-0.0968199,0.0561521,0.0742239
4.092,-0.0859242,0.0698994,0.0855015
4.20499,-0.0735565,0.0841463,0.0915467
4.321,-0.0634835,0.0973456,0.0951789
4.435,-0.0562869,0.107914,0.0964235
4.54999,-0.0509107,0.115742,0.0875487
4.66199,-0.0470185,0.12173,0.0785978
4.778,-0.0436348,0.12728,0.0813613
4.89299,-0.0386064,0.131108,0.0912978
5.00699,-0.0320742,0.131774,0.0950722
5.12199,-0.0273101,0.130462,0.0966775
5.23799,-0.0281942,0.128422,0.0966775
5.351,-0.0329268,0.125724,0.0925424
5.46399,-0.0387466,0.121501,0.0822401
5.577,-0.044338,0.116,0.0709219
5.69099,-0.049128,0.109691,0.0595478
5.80699,-0.0526883,0.102716,0.0479755
5.922,-0.0559395,0.096008,0.0364033
6.03799,-0.0592393,0.0899735,0.0248818
6.15599,-0.0630526,0.0848817,0.0130658
6.27199,-0.0663591,0.0811219,0.001778
6.38599,-0.0686114,0.0786035,-0.00803148
6.5,-0.0703193,0.0769995,-0.0158394
6.61499,-0.0717027,0.0761638,-0.0203505
6.73099,-0.0726901,0.0761451,-0.0202235
6.84799,-0.0732486,0.076094,-0.0178562
6.963,-0.0738914,0.0754433,-0.0185572
7.07799,-0.0751899,0.0738189,-0.0253289
7.194,-0.0772863,0.0714054,-0.0369468
7.308,-0.0793577,0.0690307,-0.048133
7.422,-0.0805377,0.0667153,-0.0578917
7.536,-0.0805673,0.0643377,-0.0647294
7.64999,-0.0801519,0.0620921,-0.0683311
7.76199,-0.0807001,0.0600743,-0.0704342
7.87599,-0.0825577,0.0583367,-0.0725221
7.989,-0.0848854,0.0569615,-0.0739445
8.10399,-0.0866471,0.0559316,-0.0737616
8.217,-0.0874253,0.0552393,-0.0721157
8.33699,-0.0874554,0.0547729,-0.0699821
8.452,-0.0871694,0.0545476,-0.068646
8.56699,-0.0869617,0.0543721,-0.0683311
8.68199,-0.0872763,0.0542703,-0.070038
8.79999,-0.0879255,0.0541814,-0.0720293
8.916,-0.0882823,0.0538542,-0.074234
9.03499,-0.0882862,0.053531,-0.0754685
9.151,-0.0881256,0.0534383,-0.0750418
9.25999,-0.088164,0.0534972,-0.0727964
9.37599,-0.0883083,0.0534253,-0.0704494
9.48999,-0.0885532,0.0532199,-0.0683666
9.59999,-0.0889074,0.0527882,-0.0677316
9.71399,-0.0893866,0.0519279,-0.0701396
9.82799,-0.0902345,0.0507667,-0.0745439
9.94199,-0.0911432,0.0497472,-0.0791616
10.056,-0.0916196,0.0491171,-0.0814222
10.169,-0.0915698,0.0489582,-0.0805282
10.282,-0.0914023,0.0491398,-0.0764032
10.407,-0.0913558,0.0495176,-0.0704545
10.517,-0.0916842,0.0499867,-0.0652577
10.629,-0.0922956,0.0505043,-0.0606501
10.744,-0.092901,0.0509265,-0.0586232
10.858,-0.0933136,0.0507455,-0.0628853
10.968,-0.0936159,0.0504596,-0.0696925
11.081,-0.0934763,0.0506133,-0.0735686
11.2,-0.092679,0.0512382,-0.0711251
11.315,-0.091531,0.051959,-0.0657555
11.433,-0.0905198,0.0528209,-0.0593344
11.549,-0.09019,0.0535941,-0.0551688
11.665,-0.0905093,0.0540357,-0.0549605
11.783,-0.0908953,0.0542034,-0.0579984
