time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0.000999928,0.086796,0.0497958,-0.135021,0.0985498,-0.100292,-0.135362,0,130,-4.7656,-0.869728,-31.6861,0,0
0.02,0.0865235,0.0497627,-0.134686,0.0981906,-0.10034,-0.135362,0,130,-1.90915,-0.613357,-30.0747,0,0
0.0370002,0.0860532,0.0496578,-0.134163,0.0975705,-0.10049,-0.135362,0,130,-1.93357,-0.247084,-29.0982,0,0
0.0539999,0.0855293,0.0495235,-0.133426,0.0968798,-0.100682,-0.135362,0,130,-4.21628,-0.259286,-36.7398,0,0
0.072,0.0848366,0.049395,-0.132527,0.0959666,-0.100866,-0.135362,0,130,-1.42087,-0.576659,-34.6158,0,0
0.0900002,0.0839869,0.0492535,-0.131897,0.0948464,-0.101069,-0.135362,0,130,-3.47165,-0.0517496,-37.1304,0,0
0.109,0.0830036,0.0491258,-0.13147,0.0935501,-0.101252,-0.135362,0,130,-0.529744,0.253401,-31.0513,0,0
0.127,0.0819523,0.0490174,-0.130957,0.0921641,-0.101407,-0.135362,0,130,-0.151315,-0.564431,-31.2222,0,0
0.145,0.0809491,0.0488833,-0.130231,0.0908415,-0.101599,-0.135362,0,130,-2.62935,-1.01606,-33.6392,0,0
0.162,0.079753,0.0486788,-0.129565,0.0892646,-0.101892,-0.135362,0,130,-6.13277,-0.832952,-37.2525,0,1
0.18,0.0782054,0.0484108,-0.129195,0.0872243,-0.102275,-0.135362,0,130,-10.3686,-2.23676,-36.8618,0,1
0.197,0.0758558,0.0479783,-0.129123,0.0841267,-0.102895,-0.135362,0,130,-14.5068,-3.04243,-35.5923,0,1
0.214,0.0725127,0.0473531,-0.129235,0.0797193,-0.10379,-0.135362,190.376,130,-21.1108,-3.97016,-38.0337,0,1
0.231,0.0676185,0.0464353,-0.129728,0.0732669,-0.105104,-0.135362,190.57,130,-26.4575,-5.27631,-42.4527,0,1
0.249,0.060694,0.0451565,-0.130856,0.0641379,-0.106935,-0.135362,190.543,130,-24.9316,-3.46967,-45.8706,0,0
0.266,0.0521963,0.0436531,-0.132436,0.0529349,-0.109088,-0.135362,190.322,130,-19.9633,-0.906195,-31.9058,0,0
0.283,0.0420679,0.0420071,-0.133985,0.039582,-0.111444,-0.135362,189.832,130,-11.9799,-1.33344,-34.1763,0,0
0.302,0.0306102,0.0402693,-0.135443,0.0244766,-0.113933,-0.135362,189.227,130,-6.20601,0.338929,-35.3238,0,0
0.32,0.0193633,0.0386239,-0.13526,0.00964917,-0.116289,-0.135362,188.709,130,13.1788,3.97662,-49.8745,0,0
0.338,0.00830403,0.0371824,-0.135255,-0.00493094,-0.118352,-0.135362,188.132,130,21.1744,7.05279,-53.2193,0,0
0.359,-0.000449667,0.0361763,-0.135255,-0.0164715,-0.119793,-0.135362,187.507,130,37.251,4.74566,-43.8199,0,0
0.379,-0.0079983,0.035194,-0.135011,-0.0264233,-0.121199,-0.135362,187.145,130,44.5508,5.51471,-29.2691,0,0
0.397,-0.00975697,0.0348595,-0.134539,-0.0287419,-0.121678,-0.135362,187.329,130,45.6006,4.37945,-26.9497,0,0
0.414,-0.00825416,0.0348533,-0.133868,-0.0267606,-0.121687,-0.135362,189.621,130,36.9703,1.19342,-34.7378,0,0
0.431,-0.00363581,0.0350074,-0.13335,-0.020672,-0.121467,-0.135362,0,130,24.3482,1.0469,-37.399,0,0
0.449,0.0031871,0.0352402,-0.133218,-0.0116769,-0.121133,-0.135362,0,130,17.6343,-0.771927,-39.523,0,0
0.467,0.0108866,0.0353881,-0.133462,-0.00152618,-0.120922,-0.135362,0,130,9.87065,-2.38326,-33.1997,0,0
0.484,0.0196095,0.0353821,-0.133675,0.00997375,-0.12093,-0.135362,0,130,0.275919,-0.527786,-36.5933,0,0
0.502,0.0281486,0.0352985,-0.134193,0.0212314,-0.12105,-0.135362,0,130,-18.0224,0.448769,-47.0425,0,0
0.52,0.0351222,0.0353184,-0.135382,0.0304251,-0.121021,-0.135362,0,130,-46.6723,4.29398,-40.8658,0,0
0.538,0.0391215,0.0356603,-0.135316,0.0356976,-0.120532,-0.135362,0,130,-48.3447,6.91849,-57.6138,0,0
0.555,0.0392397,0.0364068,-0.13528,0.0358534,-0.119463,-0.135362,0,130,-47.9052,1.68168,-48.9468,0,0
0.573,0.0354074,0.037196,-0.135225,0.0308011,-0.118333,-0.135362,0,130,-42.8271,0.876001,-53.7808,0,0
0.59,0.0284485,0.0380215,-0.135199,0.0216267,-0.117151,-0.135362,167.525,130,-33.0737,3.35403,-43.063,0,0
0.609,0.0181812,0.0392377,-0.135108,0.00809074,-0.11541,-0.135362,172.344,130,-13.7866,6.71096,-45.0406,0,0
0.626,0.00796321,0.0407625,-0.135133,-0.00538026,-0.113226,-0.135362,172.596,130,6.51372,3.64699,-44.6499,0,0
0.644,-0.00185233,0.0425833,-0.135143,-0.0183207,-0.110619,-0.135362,171.438,130,29.9024,0.521982,-46.4322,0,0
0.661,-0.0093313,0.0444694,-0.135148,-0.0281807,-0.107919,-0.135362,169.233,130,53.3765,-1.98047,-40.6949,0,0
0.68,-0.0133949,0.0463627,-0.135042,-0.033538,-0.105208,-0.135362,165.308,130,56.3184,-1.47998,-32.0034,0,0
0.698,-0.0129481,0.0479668,-0.134798,-0.0329489,-0.102911,-0.135362,154.118,130,47.1875,-2.9082,-28.5366,0,0
0.715,-0.00860124,0.0492775,-0.134295,-0.0272182,-0.101034,-0.135362,0,130,36.1402,-6.09424,-28.854,0,0
0.728,-0.00383518,0.0499635,-0.133838,-0.0209348,-0.100052,-0.135362,0,130,24.7266,-5.28857,-40.1822,0,0
0.749,0.00659052,0.0505713,-0.133345,-0.00718996,-0.099182,-0.135362,0,130,2.64409,-7.18066,-31.4908,0,0
0.767,0.0153339,0.0505317,-0.13303,0.00433697,-0.0992387,-0.135362,0,130,-8.75728,-6.17969,-35.3238,0,0
0.784,0.0230519,0.050099,-0.132847,0.0145121,-0.0998582,-0.135362,0,130,-32.4023,-5.87451,-34.6402,0,0
0.801,0.0286714,0.0492187,-0.132786,0.0219206,-0.101119,-0.135362,0,130,-48.0029,-2.11475,-42.8921,0,0
0.819,0.0308078,0.0481753,-0.133386,0.0247372,-0.102613,-0.135362,0,130,-45.6103,1.68164,-44.3325,0,0
0.837,0.029369,0.0472175,-0.134783,0.0228403,-0.103984,-0.135362,0,130,-31.56,5.12402,-33.9077,0,0
0.854,0.0245675,0.0464981,-0.135275,0.0165102,-0.105014,-0.135362,0,130,-28.8256,6.22265,-49.2886,0,0
0.871,0.0175128,0.0461114,-0.135169,0.00720954,-0.105568,-0.135362,188.824,130,-14.7387,1.92578,-41.8667,0,0
