Subject,Force,BallFreq,Energy0.5,Energy1.0,Energy1.5,Energy2.5,Resonance
Subject1,F0_B0,0.5Hz,0.11564592413505269,0.31170975552221886,0.14394524384184043,0.05888665154563266,0.11564592413505269
Subject1,F0_B0,0.5Hz,0.1917995580313918,0.5311937031953001,0.39618245089661336,0.11532930485087395,0.1917995580313918
Subject1,F0_B0,0.5Hz,0.3199225855497939,0.8402214759595064,0.595839166999823,0.15634159881230292,0.3199225855497939
Subject1,F0_B0,0.5Hz,0.5329433628957263,1.0631362385579037,0.7467250923005893,0.2028680380196811,0.5329433628957263
Subject1,F0_B0,0.5Hz,0.7117134981666875,1.3275869113257681,0.8967835610416516,0.26098951440786944,0.7117134981666875
Subject1,F0_B0,0.5Hz,0.8416867756588314,1.584372870824362,1.0255250745981888,0.3348238496747077,0.8416867756588314
Subject2,F0_B0,0.5Hz,0.281315540984844,0.22230736416818941,0.12622075684530537,0.04039099969187255,0.281315540984844
Subject2,F0_B0,0.5Hz,0.5366983229659095,0.4726225509087281,0.25193107231571404,0.07201885443065653,0.5366983229659095
Subject2,F0_B0,0.5Hz,0.8312037528720378,0.685769190290892,0.41744511885515473,0.0984626429575851,0.8312037528720378
Subject2,F0_B0,0.5Hz,1.0782154345604578,0.9303005465422898,0.5319979193716918,0.14203303099571812,1.0782154345604578
Subject2,F0_B0,0.5Hz,1.345352583181901,1.2154960555230734,0.6377892832049008,0.17546007957230875,1.345352583181901
Subject2,F0_B0,0.5Hz,1.5028357157984873,1.5684599053270505,0.7593198760311717,0.2063170162842766,1.5028357157984873
Subject3,F0_B0,0.5Hz,0.07527199304091212,0.20650954530240928,0.1842051383290619,0.07367518033482788,0.07527199304091212
Subject3,F0_B0,0.5Hz,0.16754302322523112,0.3539804308653546,0.34956344961737684,0.18793066626520336,0.16754302322523112
Subject3,F0_B0,0.5Hz,0.26228508304065656,0.4994163948224543,0.5953016357735861,0.28443035980170484,0.26228508304065656
Subject3,F0_B0,0.5Hz,0.3288688400694534,0.7406343662033291,0.7408502151489555,0.40704925479125226,0.3288688400694534
Subject3,F0_B0,0.5Hz,0.402831092530883,0.8815641733362466,0.9292469100841445,0.484800432525225,0.402831092530883
Subject3,F0_B0,0.5Hz,0.4578176138296394,0.9968062050259048,1.1669334435494774,0.5835918123128458,0.4578176138296394
Subject4,F0_B0,0.5Hz,0.08277021443407989,0.17399780749285515,0.1927037194771724,0.1055315158873311,0.08277021443407989
Subject4,F0_B0,0.5Hz,0.2181771408817328,0.34823429823705687,0.3864163995387002,0.178969509389322,0.2181771408817328
Subject4,F0_B0,0.5Hz,0.3236487104155793,0.6151853387429336,0.5663004988863861,0.2563017356882185,0.3236487104155793
Subject4,F0_B0,0.5Hz,0.45004638572448236,0.8355029944339087,0.7554086116751907,0.343213262270189,0.45004638572448236
Subject4,F0_B0,0.5Hz,0.5246894039610559,1.1554553877383014,0.9512849488701333,0.404164222468552,0.5246894039610559
Subject4,F0_B0,0.5Hz,0.6592259879545582,1.39650102451148,1.1194159947152367,0.47677847404571333,0.6592259879545582
Subject5,F0_B0,0.5Hz,0.22901972723253913,0.22832511091289298,0.1274242287488055,0.055431393083941086,0.22901972723253913
Subject5,F0_B0,0.5Hz,0.4661593881528359,0.411990871150686,0.3217413515534242,0.12067287785262944,0.4661593881528359
Subject5,F0_B0,0.5Hz,0.6792956898536961,0.6723079799598819,0.4486770254987675,0.16581293530702884,0.6792956898536961
Subject5,F0_B0,0.5Hz,0.9313060124498398,0.8722120239139792,0.5836921920119502,0.2307156160710044,0.9313060124498398
Subject5,F0_B0,0.5Hz,1.0581258147555783,1.0449310767540123,0.7014866866667251,0.2942184447484101,1.0581258147555783
Subject5,F0_B0,0.5Hz,1.2424066442723776,1.3479398999348202,0.786135877858488,0.359194313733814,1.2424066442723776
Subject6,F0_B0,0.5Hz,0.21587618033258651,0.20860093877586117,0.13025009951805888,0.03885376183458702,0.21587618033258651
Subject6,F0_B0,0.5Hz,0.4840165902213325,0.502340668205411,0.22159792250891241,0.07113348364589961,0.4840165902213325
Subject6,F0_B0,0.5Hz,0.6954589124098544,0.8738406211145795,0.3447393892395582,0.10547367092264381,0.6954589124098544
Subject6,F0_B0,0.5Hz,0.9640058480899306,1.061570390334548,0.4948146400909552,0.15384912897769507,0.9640058480899306
Subject6,F0_B0,0.5Hz,1.1846479705554933,1.318326764875718,0.6250232618446689,0.19488674982490245,1.1846479705554933
Subject6,F0_B0,0.5Hz,1.4078252161140496,1.7178544270877776,0.7349452843437612,0.22673880879328187,1.4078252161140496
Subject7,F0_B0,0.5Hz,0.09582274057081958,0.22127002487444727,0.16707574852148072,0.0391500584415697,0.09582274057081958
Subject7,F0_B0,0.5Hz,0.14634624486423703,0.45508971574876655,0.3097099247619801,0.1277855387284889,0.14634624486423703
Subject7,F0_B0,0.5Hz,0.2121884800791623,0.6696172751812183,0.45433703079355914,0.17457987671113573,0.2121884800791623
Subject7,F0_B0,0.5Hz,0.2656383821769823,0.9081597849633711,0.6314730166582541,0.2552343044298912,0.2656383821769823
Subject7,F0_B0,0.5Hz,0.32730151432404936,1.066750282013817,0.8694774814691141,0.348840885363747,0.32730151432404936
Subject7,F0_B0,0.5Hz,0.3544263737401245,1.228250150611753,1.165637376272232,0.43669496671309305,0.3544263737401245
